"ProductionDistributionHouse","row_count"
"Warner Bros","20"
"20th Century Fox","14"
"Universal Studios","14"
"Lions Gate Entertainment","12"
"Paramount Pictures","10"
"Columbia Pictures","9"
"IFC Films","9"
"Relativity Media","9"
"Magnolia Pictures","8"
"Fox Searchlight Pictures","7"
"Summit Entertainment","7"
"Open Road Films","6"
"Walt Disney Pictures","6"
"The Weinstein Company","6"
"Focus Features","5"
"FilmDistrict","5"
"CBS Films","5"
"Eros International","4"
"Sony Pictures Classics","4"
"TriStar Pictures","4"
"Anchor Bay Films","4"
"A24 Films","4"
"LD Entertainment","3"
"Screen Gems","3"
"Dimension Films","3"
"UTV Motion Pictures","3"
"Millennium Entertainment","3"
"Freestyle Releasing","3"
"Lionsgate Films","2"
"Touchstone Pictures","2"
"Reliance Entertainment","2"
"Yash Raj Films","2"
"Balaji Motion Pictures","2"
"Cinedigm Entertainment","2"
"Marvel Studios","2"
"Fox Star Studios","2"
"Viacom 18 Motion Pictures","2"
"Tribeca Film","1"
"Drafthouse Films","1"
"Toei Company","1"
"Parameswara Art Productions","1"
"ERBP","1"
"Cinema Service","1"
"Indomina Media","1"
"Oscilloscope Laboratories","1"
"Samuel Goldwyn Films","1"
"The Film Company","1"
"Tips Music Films","1"
"El Deseo","1"
"China Film Group","1"
"Film4 Productions","1"
"Focus World","1"
"Chabial","1"
"Therapy Studios","1"
"RCR Media Group","1"
"Huayi Brothers","1"
"Mirabai Films","1"
"RADiUS-TWC","1"
"Block 2 Pictures","1"
"StudioCanal","1"
"GreeneStreet Films","1"
"Excel Entertainment","1"
"Hasbro Studios","1"
"Monterey Media","1"
"Cyan Films","1"
"The Film Collective","1"
"Magnet Releasing","1"
"Millennium Films","1"
"Toho","1"
"DAR motion pictures","1"
"Universal Pictures","1"
"Wayfare Entertainment","1"
"Sri Venkateswara Cine Chitra","1"
"Red Chillies Entertainment","1"
"Sri Mishri Productions","1"
"Arenas Entertainment","1"
"Vertical Entertainment","1"
"Screen Media Films","1"
"Gravitas Ventures","1"
"Image Entertainment","1"
"Fox Searchlight","1"
"Picturehouse","1"
"Sri Venkateswara Creations","1"
"Roadside Attractions","1"
"Reverence Gospel Media Films","1"
"Working Title Films","1"
"Artina Films","1"
